Full Name,Date of Birth,Phone,Email,Bed Types Needed,Status,Notes,Pets,Pet name(s) and species,Vehicle,Vehicle Details,VI Score,UniteUs,HMIS,Mailing Address,Employed,ADA Accommodations,Housing Preference,Needs Medical Respite,Date Added
Debra Brown,1974-03-21,505-555-4260,debra_brown@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Placed,Prefers to stay in current location. Open to housing opportunities.,false,,false,,78,true,true,true,false,,"Seeking Shelter Placement",true,2025-12-22
Keith Barnes,1948-06-25,505-555-9840,keith_barnes@example.com,"rec9b2J2UTwKTpD5C, recBTyhWRG9EJWm0V",Unhoused,"Lost everything in recent fire. Has GED, interested in vocational training.",true,Shadow (large dog),false,,,false,true,false,true,,"Seeking Shelter Placement",false,2025-11-19
Kelly Myers,2008-12-10,505-555-5521,kelly_myers@example.com,"recqysbkrelgYADCo",Exited to Housing,Estranged from family.,false,,false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-12-08
Margaret Chavez,2006-08-17,505-555-7413,margaret_chavez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,Attended last case conferencing meeting. Chronic health condition requires medication. Health issues - needs regular medical care.,false,,true,1998 Honda Civic - poor condition,,true,false,false,false,,"Seeking Shelter Placement",false,2025-02-20
Zachary Allen,1970-11-13,505-555-6116,zachary_allen@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Willing to work, looking for opportunities. Estranged from family.",true,"Rocky (chihuahua), Bear (shepherd mix)",true,2001 Dodge Caravan - poor condition,,false,false,false,false,,"Seeking Shelter Placement",false,2025-07-07
Paul Williams,1967-12-01,505-555-7770,paul_williams@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Declined services at this time. Applied for Medicaid, waiting for approval. Lost everything in recent fire.",false,,false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-04-12
Christine Cooper,1960-04-05,505-555-7649,christine_cooper@example.com,"recA2HEjmy46Zz5KE",Unhoused,Interested in substance abuse treatment. Interested in substance abuse treatment.,true,Max (cat),false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-05-26
Roy Vasquez,1940-01-01,505-555-6171,roy_vasquez@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Working with case manager weekly. Working part-time at local restaurant.,true,Sadie (chihuahua),false,,,true,false,true,false,"Grab bars needed, Hearing accommodations","Prefers Vehicle, Seeking Shelter Placement",false,2025-07-07
Michelle Perez,1939-01-16,505-555-4393,michelle_perez@example.com,"recA2HEjmy46Zz5KE, recBTyhWRG9EJWm0V",Unhoused,Been on streets for over a year.,true,Tiger (small dog),true,2005 Ford F-150 - not running,,false,true,true,false,,"Seeking Shelter Placement",false,2025-03-24
Susan Howard,1942-09-10,505-555-5130,susan_howard@example.com,"recA2HEjmy46Zz5KE",Unhoused,Working with case manager weekly.,false,,false,,,false,true,true,false,,"Prefers Outdoor/Tent",false,2025-03-05
Abigail Martinez,2004-02-13,505-555-3409,abigail_martinez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,Needs assistance with housing applications.,false,,true,white van - not running,,false,false,false,false,,"Seeking Shelter Placement",false,2025-06-06
George Adams,2007-04-09,505-555-5126,george_adams@example.com,"recWhJHWlxhJCUUc8, recqysbkrelgYADCo",Placed,Recently lost job and housing. Needs help with disability application.,true,Luna (pit bull mix),true,2005 Ford F-150 - runs well,85,false,false,false,false,,"Seeking Shelter Placement",false,2025-06-24
Keith Ruiz,1961-08-28,505-555-2358,keith_ruiz@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Been on streets for over a year. Prefers to stay in current location.,true,Whiskers (small dog),true,2007 Nissan Sentra - fair condition,,false,false,false,false,"Ground floor only","Prefers Outdoor/Tent",true,2025-01-13
Sandra Price,2007-05-15,505-555-3975,sandra_price@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,"Working with case manager weekly. Has GED, interested in vocational training. Estranged from family.",false,,false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-12-01
Arthur Watson,1996-10-04,505-555-8945,arthur_watson@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Prefers to stay in current location. Has GED, interested in vocational training.",true,"Molly (small dog), Whiskers (large dog)",false,,,false,false,false,false,"Ground floor only","Undecided",false,2025-12-26
Susan Lopez,1987-02-18,505-555-4187,susan_lopez@example.com,,Unhoused,Recently lost job and housing. Recently lost job and housing.,false,,false,,,false,true,false,false,,"Seeking Shelter Placement",false,2025-12-25
Jacqueline Hill,1971-03-08,505-555-1223,jacqueline_hill@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,Declined services at this time.,false,,false,,,false,false,false,false,"Visual accommodations","Seeking Shelter Placement",false,2025-05-21
Evelyn Gray,1979-10-13,505-555-3140,evelyn_gray@example.com,,Unhoused,Interested in substance abuse treatment.,true,Bear (cat (gray)),true,2002 Honda Accord - not running,,false,true,true,false,,"Other",false,2025-01-20
Albert Romero,1992-05-10,505-555-5379,albert_romero@example.com,"rec6BYXTiszjS4Fiy",Unhoused,Receives SSI benefits. Mental health support needed.,false,,true,2002 Honda Accord - needs repairs,,false,false,true,false,"Grab bars needed","Seeking Shelter Placement",true,2025-01-23
Kevin Russell,1993-09-09,505-555-9529,kevin_russell@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Been on streets for over a year. Open to housing opportunities. Fleeing domestic violence situation.,false,,false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-03-01
Angela Patel,1981-09-02,505-555-6635,angela_patel@example.com,"recWhJHWlxhJCUUc8, recqysbkrelgYADCo",Placed,Needs help with disability application. Needs help with disability application. Mental health support needed.,false,,false,,75,false,false,true,false,"Visual accommodations, Hearing accommodations","Staying with Family/Friends",false,2025-10-15
Roy Perez,2007-03-19,505-555-1857,roy_perez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Health issues - needs regular medical care. Needs assistance with housing applications. Needs assistance with housing applications.,false,,false,,,false,false,false,false,"Visual accommodations","Seeking Shelter Placement",true,2025-09-01
Christina Mendoza,1958-10-20,505-555-4903,christina_mendoza@example.com,"recA2HEjmy46Zz5KE",Unhoused,Previously lived in Denver.,false,,false,,,false,false,true,false,,"Prefers Vehicle",true,2025-03-12
Victoria Jenkins,1972-03-05,505-555-2895,victoria_jenkins@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,On Life Link waitlist.,true,"Buddy (large dog), Mittens (shepherd mix)",false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-03-26
Jessica Davis,1972-02-26,505-555-5595,jessica_davis@example.com,,Exited to Housing,Prefers to stay in current location.,true,"Molly (small dog), Daisy (small dog)",true,2007 Nissan Sentra - runs well,,true,false,false,false,,"Seeking Shelter Placement",true,2025-08-05
Gregory Herrera,1983-05-11,505-555-5143,gregory_herrera@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Placed,Fleeing domestic violence situation.,true,Zeus (chihuahua),false,,87,false,false,true,false,,"Seeking Shelter Placement",true,2025-06-23
Kimberly Sanchez,1975-04-08,505-555-8292,kimberly_sanchez@example.com,,Unhoused,Declined services at this time. On Life Link waitlist. Veteran - served in Navy.,false,,false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-07-02
Andrea Sanders,1960-08-15,505-555-7793,andrea_sanders@example.com,"recA2HEjmy46Zz5KE",Unhoused,Needs assistance with housing applications.,false,,false,,,false,true,false,false,,"Seeking Shelter Placement",false,2025-08-16
Ann Russell,1967-03-18,505-555-2583,ann_russell@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,Been on streets for 3 months.,true,Molly (cat (orange tabby)),false,,,false,false,false,false,,"Seeking Shelter Placement",true,2025-03-19
Sophia Gomez,1993-08-16,505-555-5313,sophia_gomez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Placed,"Has ID, needs birth certificate. Interested in substance abuse treatment.",false,,true,RV (older model) - poor condition,80,false,false,false,false,,"Unsheltered by Choice",true,2025-04-10
Brandon Young,1942-02-19,505-555-3033,brandon_young@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Waiting for shelter bed.,false,,false,,,false,false,false,false,,"Undecided",false,2025-10-16
Sandra Mendoza,2005-10-15,505-555-6426,sandra_mendoza@example.com,"recBTyhWRG9EJWm0V",Unhoused,"Veteran - served in Navy. Prefers to stay in current location. Willing to work, looking for opportunities.",false,,true,2007 Nissan Sentra - needs repairs,,false,false,false,true,,"Seeking Shelter Placement",false,2025-12-22
Catherine Gray,1948-04-07,505-555-5853,catherine_gray@example.com,"recA2HEjmy46Zz5KE",Placed,Estranged from family.,false,,true,older pickup truck - not running,75,false,false,false,false,,"Unsheltered by Choice",false,2025-10-25
Jacqueline Morgan,1954-10-03,505-555-1530,jacqueline_morgan@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Exited to Housing,Lost everything in recent fire. Working part-time at local restaurant.,false,,false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-10-26
Sandra Diaz,1990-12-27,505-555-2426,sandra_diaz@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Placed,Has family in Albuquerque.,false,,false,,75,false,true,false,false,,"Unsheltered by Choice",false,2025-10-12
Gerald Romero,1961-11-11,505-555-5535,gerald_romero@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Receives SSI benefits. Been on streets for 3 months.,false,,true,white van - needs repairs,,false,false,false,true,,"Seeking Shelter Placement",true,2025-07-26
Roger Castillo,1954-03-07,505-555-7052,roger_castillo@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Recently lost job and housing. Prefers to stay in current location.,true,"Cooper (pit bull mix), Mittens (pit bull mix)",false,,,true,false,true,false,,"Seeking Shelter Placement",false,2025-01-02
Rebecca Perez,2006-07-07,505-555-3961,rebecca_perez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Placed,"Has ID, needs birth certificate.",true,Bella (cat),true,1999 Ford Taurus - fair condition,91,false,false,false,false,,"Undecided",false,2025-05-18
Virginia Johnson,1994-06-09,505-555-3663,virginia_johnson@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Previously lived in Denver. Previously lived in Denver. Willing to work, looking for opportunities.",false,,false,,,false,true,false,false,,"Seeking Shelter Placement",true,2025-09-02
Christian Vargas,1974-06-28,505-555-6976,christian_vargas@example.com,"rec6BYXTiszjS4Fiy",Other Exit,Fleeing domestic violence situation. Been on streets for 3 months.,true,Molly (pit bull mix),false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-05-08
Jeffrey Romero,1990-12-05,505-555-6817,jeffrey_romero@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Receives SSI benefits. Previously housed at shelter, had to leave. Previously housed at shelter, had to leave.",false,,false,,,true,false,false,false,"Hearing accommodations","Seeking Shelter Placement",true,2025-10-08
Stephen Perry,1955-09-28,505-555-2937,stephen_perry@example.com,"rec9b2J2UTwKTpD5C",Placed,Been on streets for over a year. Fleeing domestic violence situation.,false,,false,,86,false,false,true,true,,"Prefers Outdoor/Tent",false,2025-11-08
Jessica Lopez,1941-08-23,505-555-4381,jessica_lopez@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Unhoused,Declined services at this time. Veteran - served in Navy.,false,,true,2003 Toyota Camry - needs repairs,,true,false,false,true,"Visual accommodations","Prefers Outdoor/Tent",false,2025-12-10
Tyler Jimenez,1988-12-14,505-555-8847,tyler_jimenez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Lost everything in recent fire.,false,,false,,,false,true,false,false,,"Seeking Shelter Placement",false,2025-09-17
William Flores,2001-10-22,505-555-6608,william_flores@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Exited to Housing,"Declined services at this time. Previously housed at shelter, had to leave.",false,,false,,,false,false,false,false,"Ground floor only","Seeking Shelter Placement",false,2025-02-13
Abigail Foster,1944-07-25,505-555-8395,abigail_foster@example.com,"recA2HEjmy46Zz5KE",Other Exit,Declined services at this time.,false,,false,,,false,true,true,false,,"Seeking Shelter Placement",false,2025-07-04
Zachary Hernandez,1956-09-02,505-555-4899,zachary_hernandez@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Working part-time at local restaurant. Receives SSI benefits. Receives SSI benefits.,true,Simba (cat (orange tabby)),true,2006 Toyota Corolla - runs well,,false,false,false,true,,"Seeking Shelter Placement",false,2025-11-25
Gary Sullivan,1998-01-28,505-555-3867,gary_sullivan@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,Working part-time at local restaurant. Waiting for shelter bed. Previously lived in Denver.,true,Zeus (pit bull mix),false,,,false,false,false,false,,"Seeking Shelter Placement",true,2025-06-25
Kyle Kelly,1987-05-23,505-555-9644,kyle_kelly@example.com,"rec6BYXTiszjS4Fiy",Unhoused,Attended last case conferencing meeting. Been on streets for over a year. Recently lost job and housing.,false,,false,,,false,true,true,false,,"Seeking Shelter Placement",false,2025-05-16
Denise Reed,1998-04-20,505-555-3978,denise_reed@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,"Has ID, needs birth certificate. Receives SSI benefits.",false,,false,,,true,false,false,true,,"Undecided",false,2025-11-04
Patrick Gomez,1947-06-01,505-555-9395,patrick_gomez@example.com,"rec9b2J2UTwKTpD5C, recqysbkrelgYADCo",Placed,Working part-time at local restaurant. On Life Link waitlist.,false,,false,,99,false,false,false,false,,"Other",true,2025-08-03
Carolyn Long,1981-07-03,505-555-1918,carolyn_long@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Working with case manager weekly.,true,Shadow (cat (gray)),true,2004 GMC truck - poor condition,,false,false,false,false,"Grab bars needed, Ground floor only","Seeking Shelter Placement",true,2025-10-07
Jean James,2000-03-26,505-555-9970,jean_james@example.com,"recA2HEjmy46Zz5KE, recBTyhWRG9EJWm0V",Placed,Receives SSI benefits.,true,Molly (shepherd mix),false,,70,false,false,false,false,,"Seeking Shelter Placement",true,2025-09-24
Mary Jimenez,1949-10-02,505-555-6471,mary_jimenez@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Exited to Housing,"Has family in Albuquerque. Prefers to stay in current location. Willing to work, looking for opportunities.",true,"Cooper (large dog), Tiger (pit bull mix)",false,,,false,false,false,false,,"Prefers Vehicle, Seeking Shelter Placement",true,2025-10-23
Jeffrey Wallace,1955-01-18,505-555-2562,jeffrey_wallace@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Placed,Prefers to stay in current location. Been on streets for over a year.,false,,false,,70,true,true,true,false,,"Prefers Outdoor/Tent",false,2025-06-20
Ashley Barnes,1941-08-05,505-555-4501,ashley_barnes@example.com,"recA2HEjmy46Zz5KE",Exited to Housing,Connected with HUGS outreach team. Connected with HUGS outreach team.,false,,false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-04-15
Anthony Sanders,1939-09-28,505-555-4904,anthony_sanders@example.com,"recWhJHWlxhJCUUc8",Other Exit,"Been on streets for 3 months. Previously housed at shelter, had to leave. Estranged from family.",false,,false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-03-27
Martha Myers,1955-10-02,505-555-1946,martha_myers@example.com,"reclIU5ZYnCmzhB8b",Exited to Housing,Fleeing domestic violence situation.,true,Jack (chihuahua),false,,,true,false,true,false,"Hearing accommodations","Seeking Shelter Placement",false,2025-07-11
Janice Ramirez,1980-07-14,505-555-1681,janice_ramirez@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recBTyhWRG9EJWm0V",Unhoused,Been on streets for 3 months. Health issues - needs regular medical care.,true,Misty (large dog),false,,,true,true,false,false,,"Prefers Outdoor/Tent",false,2025-08-16
Dorothy Green,2004-02-11,505-555-5819,dorothy_green@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK",Unhoused,"Has GED, interested in vocational training.",false,,true,2005 Ford F-150 - needs repairs,,false,false,true,false,,"Seeking Shelter Placement",true,2025-07-09
Dylan Rodriguez,1944-06-11,505-555-5591,dylan_rodriguez@example.com,"rec9b2J2UTwKTpD5C, recqysbkrelgYADCo",Exited to Housing,Lost everything in recent fire. Been on streets for over a year. Interested in substance abuse treatment.,true,Oreo (pit bull mix),true,1998 Honda Civic - poor condition,,true,false,false,true,,"Staying with Family/Friends",false,2025-11-13
Logan Jackson,1965-03-22,505-555-3200,logan_jackson@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Placed,Has family in Albuquerque. Needs assistance with housing applications.,false,,false,,72,false,false,true,false,"Wheelchair accessible","Seeking Shelter Placement",false,2025-02-25
Katherine Kim,1993-09-18,505-555-6367,katherine_kim@example.com,"recqysbkrelgYADCo",Unhoused,Prefers to stay in current location.,false,,false,,,false,false,true,false,,"Seeking Shelter Placement",true,2025-03-20
Kelly Castillo,2004-09-17,505-555-6153,kelly_castillo@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Unhoused,Lost everything in recent fire. Been on streets for over a year.,false,,false,,,false,false,false,false,"Wheelchair accessible","Other",true,2025-10-14
Jerry Roberts,1956-10-07,505-555-7756,jerry_roberts@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Recently lost job and housing.,false,,true,2005 Ford F-150 - needs repairs,,false,false,false,false,,"Staying with Family/Friends",false,2025-08-13
Gloria Robinson,1978-12-18,505-555-3364,gloria_robinson@example.com,"recciLDFYDBYcFnYm, recSKAwnyMFB1N2qK, recqysbkrelgYADCo",Exited to Housing,"Willing to work, looking for opportunities. Attended last case conferencing meeting. Receives SSI benefits.",true,Misty (chihuahua),false,,,false,false,false,false,,"Seeking Shelter Placement",false,2025-11-17
Thomas Herrera,1981-10-13,505-555-3800,thomas_herrera@example.com,"rec6BYXTiszjS4Fiy",Unhoused,Has family in Albuquerque. Interested in substance abuse treatment.,false,,false,,,false,false,true,true,,"Seeking Shelter Placement",true,2025-09-25
Gregory Kim,1941-07-28,505-555-8186,gregory_kim@example.com,"recWhJHWlxhJCUUc8",Unhoused,Lost everything in recent fire. Been on streets for over a year. Been on streets for 3 months.,false,,false,,,true,true,false,false,,"Seeking Shelter Placement",false,2025-11-09
Patrick Jenkins,1985-01-02,505-555-2549,patrick_jenkins@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Placed,"Has ID, needs birth certificate. Lost everything in recent fire.",true,Lucy (pit bull mix),true,2005 Ford F-150 - poor condition,90,false,false,false,true,,"Prefers Vehicle",false,2025-06-11
Walter Alvarez,1971-10-04,505-555-7584,walter_alvarez@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF",Unhoused,Waiting for shelter bed. Needs assistance with housing applications. Has family in Albuquerque.,false,,true,2002 Honda Accord - not running,,false,true,false,false,,"Seeking Shelter Placement",false,2025-12-01
Christina Jimenez,1951-07-01,505-555-8014,christina_jimenez@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Other Exit,Needs assistance with housing applications. Veteran - served in Navy.,true,Max (dog),false,,,true,false,false,false,,"Seeking Shelter Placement",false,2025-08-14
Melissa Russell,1948-08-23,505-555-6069,melissa_russell@example.com,"rec5rstKxttDwp71g, recJQ852bannc7UuF, recBTyhWRG9EJWm0V",Unhoused,Interested in substance abuse treatment. Open to housing opportunities.,false,,false,,,false,false,true,false,,"Seeking Shelter Placement",false,2025-09-04
Katherine Hernandez,1943-10-09,505-555-9620,katherine_hernandez@example.com,"recA2HEjmy46Zz5KE",Unhoused,Estranged from family.,false,,false,,,false,true,true,true,,"Seeking Shelter Placement",false,2025-03-21
William Scott,1939-06-05,505-555-5617,william_scott@example.com,"rec9b2J2UTwKTpD5C",Unhoused,Interested in substance abuse treatment.,false,,true,2006 Toyota Corolla - needs repairs,,true,false,true,false,"Visual accommodations, Ground floor only","Prefers Vehicle",false,2025-03-13
Ethan Gutierrez,1992-10-09,505-555-8526,ethan_gutierrez@example.com,"recWhJHWlxhJCUUc8",Unhoused,Open to housing opportunities. Working part-time at local restaurant. Receives SSI benefits.,false,,false,,,false,false,true,false,,"Staying with Family/Friends",true,2025-02-04
Olivia Vasquez,1942-08-08,505-555-2846,olivia_vasquez@example.com,"recA2HEjmy46Zz5KE, recBTyhWRG9EJWm0V",Unhoused,Chronic health condition requires medication. Needs help with disability application.,true,Cooper (shepherd mix),false,,,false,false,false,false,,"Prefers Outdoor/Tent",true,2025-05-25
Sara Torres,1935-06-02,505-555-3558,sara_torres@example.com,"recA2HEjmy46Zz5KE, recqysbkrelgYADCo",Unhoused,"Receives SSI benefits. Waiting for shelter bed. Willing to work, looking for opportunities.",false,,true,1995 Chevy van - needs repairs,,false,false,false,false,,"Seeking Shelter Placement",false,2025-05-26
